@relation _tm450

@attribute 6c:aa:b3:39:f0:b8 integer
@attribute 6c:aa:b3:3c:80:88 integer
@attribute 6c:aa:b3:3c:33:a8 integer
@attribute 6c:aa:b3:79:f0:b8 integer
@attribute 6c:aa:b3:7c:80:88 integer
@attribute 6c:aa:b3:7c:33:a8 integer
@attribute 6c:aa:b3:37:f5:68 integer
@attribute 6c:aa:b3:77:f5:68 integer
@attribute 6c:aa:b3:39:f0:bc integer
@attribute 6c:aa:b3:79:f0:bc integer
@attribute 6c:aa:b3:38:0d:a8 integer
@attribute 6c:aa:b3:78:0d:a8 integer
@attribute 6c:aa:b3:3c:80:8c integer
@attribute 6c:aa:b3:7c:80:8c integer
@attribute 6c:aa:b3:3c:33:ac integer
@attribute 84:18:3a:2c:06:58 integer
@attribute 6c:aa:b3:7c:33:ac integer
@attribute 84:18:3a:6c:06:58 integer
@attribute 6c:aa:b3:38:0d:ac integer
@attribute 6c:aa:b3:78:0d:ac integer
@attribute 00:26:99:4f:e1:60 integer
@attribute 00:26:99:4f:e1:61 integer
@attribute 00:26:99:4f:db:11 integer
@attribute 00:26:99:4f:db:10 integer
@attribute 18:83:bf:da:3c:1e integer
@attribute 00:19:cb:57:e4:18 integer
@attribute 00:0b:3b:cb:ea:1c integer
@attribute 84:18:3a:28:fc:d8 integer
@attribute 84:18:3a:23:ae:08 integer
@attribute c0:25:06:71:ee:29 integer
@attribute bc:14:01:c4:fe:fa integer
@attribute 84:18:3a:68:fc:d8 integer
@attribute 84:18:3a:63:ae:08 integer
@attribute bc:85:56:cf:07:91 integer
@attribute 74:31:70:10:24:42 integer

@attribute ROOM {4141,4137,4142,4143,4139,4138,}

@data
72,68,91,72,69,90,73,73,75,74,0,0,64,64,0,0,0,0,0,0,82,83,0,0,0,0,0,0,0,0,0,0,0,0,0,4143
61,56,0,59,56,0,66,67,67,67,0,0,70,70,0,0,0,0,0,0,81,86,92,0,0,0,0,0,0,0,0,0,0,0,0,4143
66,65,84,65,65,85,69,69,74,75,0,0,70,70,0,0,0,0,0,0,81,86,92,0,0,0,0,0,0,0,0,0,0,0,0,4143
60,66,84,61,65,85,74,75,75,76,0,0,0,0,0,0,0,0,0,0,78,0,0,90,0,0,0,0,0,0,0,0,0,0,0,4143
69,61,0,68,61,0,68,68,67,67,0,0,66,66,0,0,0,0,0,0,78,0,0,92,0,0,0,0,0,0,0,0,0,0,0,4143
64,58,86,64,58,87,69,68,67,67,0,0,70,70,0,0,0,0,0,0,0,0,88,92,0,0,0,0,0,0,0,0,0,0,0,4143
66,64,84,65,64,86,74,76,76,76,0,0,65,65,0,0,0,0,0,0,84,84,89,0,0,0,0,0,0,0,0,0,0,0,0,4143
67,62,0,70,62,0,71,73,76,77,0,0,67,68,0,0,0,0,0,0,0,80,90,95,0,0,0,0,0,0,0,0,0,0,0,4143
67,62,86,67,62,84,66,66,70,70,0,0,71,71,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,4143
70,64,0,70,63,0,65,65,77,75,0,0,69,69,92,81,90,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4139
69,59,85,68,61,87,66,66,77,76,0,0,71,68,0,82,0,83,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4139
75,65,85,77,64,84,73,73,77,77,0,0,70,72,0,82,0,83,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4139
79,68,86,80,68,84,57,57,84,84,0,0,74,74,0,77,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4139
79,69,86,80,70,84,64,64,83,83,0,0,71,71,0,77,0,78,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4139
72,72,85,73,73,85,63,63,82,82,0,0,71,71,0,82,0,79,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4139
79,73,85,78,73,87,57,57,85,86,0,0,76,77,0,81,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4139
79,71,0,78,72,87,54,56,84,84,0,0,77,78,0,81,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4139
