@attribute ROOM {2151,2152,2153,2130,2131,2123,2124,}

@data

65,65,92,91,72,45,44,73,54,81,68,56,80,67,74,75,0,85,82,82,0,0,79,0,0,0,0,0,0,0,86,0,0,0,0,80,0,0,85,0,0,0,0,0,2153
75,76,84,84,72,52,52,71,62,79,68,63,79,67,76,84,86,86,82,82,0,0,81,0,0,0,0,0,0,85,88,0,0,0,0,0,0,86,86,85,93,0,0,0,2153
86,87,0,0,81,58,59,81,73,86,0,74,86,0,74,75,0,0,87,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2130
0,0,0,0,0,56,57,0,73,76,0,74,76,0,80,79,0,0,87,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2130
80,81,0,0,0,43,43,0,62,81,0,63,81,0,80,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2130
80,81,0,0,79,56,58,79,72,81,0,72,81,0,76,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2130
0,85,0,0,77,51,51,78,71,0,0,72,0,0,70,68,0,0,0,0,0,0,0,0,0,0,0,0,0,90,90,0,0,0,0,0,0,0,0,0,0,0,0,0,2130
0,85,0,0,76,48,48,75,68,91,0,72,80,0,71,70,0,0,0,0,0,0,0,0,0,0,0,0,0,90,90,0,0,0,0,0,0,0,0,0,0,0,0,0,2130
0,0,0,0,82,48,48,81,70,75,0,70,75,0,71,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2130
81,82,0,0,77,40,41,76,73,75,0,75,74,0,64,65,0,84,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,80,0,0,0,0,2130
81,82,93,92,78,39,40,78,67,70,0,67,71,0,67,67,0,84,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,80,0,0,0,0,2130
0,0,0,0,84,50,50,83,73,73,85,72,77,86,74,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2131
0,0,0,0,78,44,45,78,77,73,0,76,77,86,75,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2131
84,84,0,0,81,54,54,82,75,0,0,74,0,0,75,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2131
80,82,0,0,80,50,50,80,77,0,0,76,0,0,80,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2131
80,88,0,0,78,58,58,82,75,0,0,74,0,0,83,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2131
0,88,0,0,85,50,51,84,78,77,0,80,78,0,83,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2131
